PROBE_ID chr BP gene_name
ENSG00000163399.11 chr1 116915882 ATP1A1
ENSG00000116815.11 chr1 117057157 CD58
ENSG00000116824.4 chr1 117297007 CD2
ENSG00000177674.11 chr1 11796204 AGTRAP
ENSG00000134247.9 chr1 117452679 PTGFRN
ENSG00000116830.6 chr1 117602925 TTF2
ENSG00000134253.5 chr1 117653682 TRIM45
ENSG00000177000.6 chr1 11846660 MTHFR
ENSG00000198162.8 chr1 117910071 MAN1A2
ENSG00000183508.4 chr1 118148556 FAM46C
ENSG00000196505.5 chr1 118412037 GDAP2
ENSG00000011021.17 chr1 11866268 CLCN6
ENSG00000175206.6 chr1 11905766 NPPA
ENSG00000160087.16 chr1 1190558 UBE2J2
ENSG00000116874.7 chr1 119573844 WARS2
ENSG00000083444.12 chr1 11994810 PLOD1
ENSG00000116688.12 chr1 12040369 MFN2
ENSG00000092621.7 chr1 120254510 PHGDH
ENSG00000116691.6 chr1 12079523 MIIP
ENSG00000143067.4 chr1 120162045 ZNF697
ENSG00000134250.13 chr1 120454176 NOTCH2
ENSG00000188610.8 chr1 120839005 FAM72B
ENSG00000198019.8 chr1 120927134 FCGR1B
ENSG00000028137.12 chr1 12227060 TNFRSF1B
ENSG00000048707.9 chr1 12290124 VPS13D
ENSG00000169972.7 chr1 1243947 PUSL1
ENSG00000127054.14 chr1 1246977 CPSF3L
ENSG00000224051.2 chr1 1260147 GLTPD1
ENSG00000162496.4 chr1 12627939 DHRS3
ENSG00000204510.1 chr1 12977513 PRAMEF7
ENSG00000175756.9 chr1 1309110 AURKAIP1
ENSG00000221978.7 chr1 1321875 CCNL2
ENSG00000242485.1 chr1 1337288 MRPL20
ENSG00000116731.18 chr1 14031350 PRDM2
ENSG00000213240.7 chr1 145209119 NOTCH2NL
ENSG00000117289.7 chr1 145438469 TXNIP
ENSG00000152022.7 chr1 145477085 LIX1L
ENSG00000131779.6 chr1 145516252 PEX11B
ENSG00000198483.8 chr1 145549230 ANKRD35
ENSG00000131788.11 chr1 145575989 PIAS3
ENSG00000121848.8 chr1 145611036 RNF115
ENSG00000196644.8 chr1 145883868 GPR89C
ENSG00000131781.8 chr1 146657838 FMO5
ENSG00000131778.13 chr1 146714334 CHD1L
ENSG00000197785.9 chr1 1447555 ATAD3A
ENSG00000121851.8 chr1 145456236 POLR3GL
ENSG00000116128.5 chr1 147013182 BCL9
ENSG00000186141.4 chr1 145592605 POLR3C
ENSG00000188092.10 chr1 147400506 GPR89B
ENSG00000168614.13 chr1 144811744 NBPF9
ENSG00000131791.6 chr1 146626685 PRKAB2
ENSG00000143140.6 chr1 147228332 GJA5
ENSG00000203836.7 chr1 147575937 NBPF24
ENSG00000255963.1 chr1 147954635 PPIAL4A
ENSG00000122497.13 chr1 148003642 NBPF14
ENSG00000160075.10 chr1 1477053 SSU72
ENSG00000150337.9 chr1 149754246 FCGR1A
ENSG00000203814.5 chr1 149783283 HIST2H2BF
ENSG00000183941.7 chr1 149804221 HIST2H4A
ENSG00000203812.2 chr1 149822643 HIST2H2AA4
ENSG00000184260.4 chr1 149858525 HIST2H2AC
ENSG00000178096.8 chr1 149871150 BOLA1
ENSG00000159164.5 chr1 149874870 SV2A
ENSG00000014914.15 chr1 149900544 MTMR11
ENSG00000136631.8 chr1 150039369 VPS45
ENSG00000023902.9 chr1 150122170 PLEKHO1
ENSG00000118292.4 chr1 150245102 C1orf54
ENSG00000117360.8 chr1 150293925 PRPF3
ENSG00000143374.10 chr1 150459893 TARS2
ENSG00000143369.10 chr1 150480583 ECM1
ENSG00000143382.9 chr1 150521884 ADAMTSL4
ENSG00000143457.6 chr1 150618701 GOLPH3L
ENSG00000143379.8 chr1 150898815 SETDB1
ENSG00000143409.11 chr1 150969311 FAM63A
ENSG00000143363.11 chr1 150980953 PRUNE
ENSG00000143443.9 chr1 151020216 C1orf56
ENSG00000213190.2 chr1 151030234 MLLT11
ENSG00000143458.7 chr1 151043080 GABPB2
ENSG00000163156.7 chr1 151138518 SCNM1
ENSG00000143398.15 chr1 151171027 PIP5K1A
ENSG00000159352.11 chr1 151227179 PSMD4
ENSG00000143373.13 chr1 151254791 ZNF687
ENSG00000159377.6 chr1 151372010 PSMB4
ENSG00000183558.5 chr1 149813505 HIST2H2AA3
ENSG00000143367.11 chr1 151512781 TUFT1
ENSG00000184678.8 chr1 149856010 HIST2H2BE
ENSG00000184270.3 chr1 149859019 HIST2H2AB
ENSG00000143368.9 chr1 149895209 SF3B4
ENSG00000143376.8 chr1 151584558 SNX27
ENSG00000197747.4 chr1 151955391 S100A10
ENSG00000117362.8 chr1 150237804 APH1A
ENSG00000163125.11 chr1 150337187 RPRD2
ENSG00000143384.8 chr1 150547032 MCL1
ENSG00000143420.13 chr1 150599530 ENSA
ENSG00000163131.6 chr1 150702672 CTSS
ENSG00000143387.8 chr1 150768684 CTSK
ENSG00000143437.16 chr1 150782181 ARNT
ENSG00000143418.15 chr1 150937649 CERS2
ENSG00000197622.8 chr1 151023449 CDC42SE1
ENSG00000163159.7 chr1 151148938 VPS72
ENSG00000169474.3 chr1 152956557 SPRR1A
ENSG00000143393.12 chr1 151264413 PI4KB
ENSG00000169469.7 chr1 153003678 SPRR1B
ENSG00000143390.13 chr1 151313116 RFX5
ENSG00000163220.10 chr1 153330330 S100A9
ENSG00000143436.6 chr1 151732119 MRPL9
ENSG00000160678.7 chr1 153600873 S100A1
ENSG00000160679.8 chr1 153606525 CHTOP
ENSG00000143553.6 chr1 153631130 SNAPIN
ENSG00000169418.9 chr1 153651113 NPR1
ENSG00000163191.5 chr1 152004982 S100A11
ENSG00000143624.9 chr1 153700543 INTS3
ENSG00000143554.9 chr1 153747768 SLC27A3
ENSG00000143614.7 chr1 153777201 GATAD2B
ENSG00000143543.10 chr1 153946745 JTB
ENSG00000177954.7 chr1 153963235 RPS27
ENSG00000143569.14 chr1 154193325 UBAP2L
ENSG00000143575.10 chr1 154244987 HAX1
ENSG00000143515.12 chr1 154300276 ATP8B2
ENSG00000160712.8 chr1 154377669 IL6R
ENSG00000160714.5 chr1 154521053 UBE2Q1
ENSG00000160691.14 chr1 154934774 SHC1
ENSG00000173207.8 chr1 154947175 CKS1B
ENSG00000160688.14 chr1 154955835 FLAD1
ENSG00000143537.9 chr1 155023762 ADAM15
ENSG00000163218.10 chr1 153302596 PGLYRP4
ENSG00000243364.3 chr1 155036207 EFNA4
ENSG00000163221.7 chr1 153346184 S100A12
ENSG00000143546.5 chr1 153362508 S100A8
ENSG00000169241.13 chr1 155108326 SLC50A1
ENSG00000173171.9 chr1 155178490 MTX1
ENSG00000160766.10 chr1 155183616 GBAP1
ENSG00000197956.5 chr1 153507075 S100A6
ENSG00000196154.7 chr1 153516089 S100A4
ENSG00000143630.5 chr1 155247374 HCN3
ENSG00000160752.10 chr1 155278643 FDPS
ENSG00000160753.11 chr1 155294304 RUSC1
ENSG00000143621.12 chr1 153634512 ILF2
ENSG00000125459.9 chr1 155580016 MSTO1
ENSG00000198837.5 chr1 153901977 DENND4B
ENSG00000163374.15 chr1 155629237 YY1AP1
ENSG00000160741.12 chr1 153920151 CRTC2
ENSG00000143570.13 chr1 153931588 SLC39A1
ENSG00000143545.4 chr1 153954127 RAB13
ENSG00000132676.10 chr1 155658874 DAP3
ENSG00000132718.7 chr1 155829300 SYT11
ENSG00000143549.15 chr1 154128840 TPM3
ENSG00000143612.14 chr1 154179196 C1orf43
ENSG00000116584.12 chr1 155916645 ARHGEF2
ENSG00000171729.9 chr1 15480229 TMEM51
ENSG00000116586.7 chr1 156024543 LAMTOR2
ENSG00000160789.15 chr1 156084461 LMNA
ENSG00000196189.8 chr1 156123318 SEMA4A
ENSG00000160785.9 chr1 156163880 SLC25A44
ENSG00000160783.14 chr1 156182798 PMF1
ENSG00000242252.1 chr1 156211753 BGLAP
ENSG00000198952.6 chr1 156219015 SMG5
ENSG00000163472.14 chr1 156254070 TMEM79
ENSG00000160710.11 chr1 154554543 ADAR
ENSG00000163382.7 chr1 156561554 APOA1BP
ENSG00000132702.7 chr1 156589086 HAPLN2
ENSG00000163344.5 chr1 154897210 PMVK
ENSG00000163346.12 chr1 154916556 PBXIP1
ENSG00000163348.3 chr1 154929502 PYGO2
ENSG00000143303.7 chr1 156698267 RRNAD1
ENSG00000143314.8 chr1 156707097 MRPL24
ENSG00000143321.14 chr1 156711899 HDGF
ENSG00000143294.10 chr1 156737292 PRCC
ENSG00000027869.7 chr1 156776035 SH2D2A
ENSG00000179085.7 chr1 155112367 DPM3
ENSG00000163463.6 chr1 155141884 KRTCAP2
ENSG00000169231.8 chr1 155165379 THBS3
ENSG00000160838.9 chr1 156890442 LRRC71
ENSG00000177628.10 chr1 155204243 GBA
ENSG00000160767.16 chr1 155217008 FAM189B
ENSG00000116521.6 chr1 155225770 SCAMP3
ENSG00000116539.6 chr1 155305846 ASH1L
ENSG00000197530.8 chr1 1550795 MIB2
ENSG00000189409.8 chr1 1567558 MMP23B
ENSG00000143622.5 chr1 155867599 RIT1
ENSG00000163479.9 chr1 155978839 SSR2
ENSG00000132704.11 chr1 157715523 FCRL2
ENSG00000160803.6 chr1 156005092 UBQLN4
ENSG00000254726.2 chr1 156041804 MEX3A
ENSG00000198715.6 chr1 156262479 C1orf85
ENSG00000163468.9 chr1 156278760 CCT3
ENSG00000142634.8 chr1 15736391 EFHD2
ENSG00000158473.6 chr1 158149737 CD1D
ENSG00000116604.12 chr1 156433519 MEF2D
ENSG00000162438.7 chr1 15764935 CTRC
ENSG00000158477.6 chr1 158223927 CD1A
ENSG00000158481.8 chr1 158259576 CD1C
ENSG00000160818.12 chr1 156564279 GPATCH4
ENSG00000158488.11 chr1 158323675 CD1E
ENSG00000143319.11 chr1 156691683 ISG20L2
ENSG00000132694.14 chr1 156905316 ARHGEF11
ENSG00000163563.7 chr1 158801107 MNDA
ENSG00000117036.7 chr1 157102937 ETV3
ENSG00000163564.10 chr1 158901342 PYHIN1
ENSG00000163565.14 chr1 158979682 IFI16
ENSG00000179639.6 chr1 159259504 FCER1A
ENSG00000196184.7 chr1 159409512 OR10J1
ENSG00000158716.4 chr1 159750750 DUSP23
ENSG00000158714.6 chr1 159796540 SLAMF8
ENSG00000132906.13 chr1 15819350 CASP9
ENSG00000158485.6 chr1 158297741 CD1B
ENSG00000162734.8 chr1 160175127 PEA15
ENSG00000132716.13 chr1 160185505 DCAF8
ENSG00000162735.13 chr1 160246602 PEX19
ENSG00000162736.11 chr1 160313062 NCSTN
ENSG00000215695.1 chr1 15986364 RSC1A1
ENSG00000066294.10 chr1 160510888 CD84
ENSG00000227232.4 chr1 14363 WASH7P
ENSG00000026751.12 chr1 160709055 SLAMF7
ENSG00000163568.9 chr1 159032274 AIM2
ENSG00000158769.13 chr1 160965001 F11R
ENSG00000116786.7 chr1 16010827 PLEKHM2
ENSG00000158793.9 chr1 161087891 NIT1
ENSG00000143222.7 chr1 161123542 UFC1
ENSG00000143258.11 chr1 161129269 USP21
ENSG00000143224.12 chr1 161136200 PPOX
ENSG00000158859.8 chr1 161159538 ADAMTS4
ENSG00000158864.8 chr1 161169105 NDUFS2
ENSG00000158869.6 chr1 161185087 FCER1G
ENSG00000158882.8 chr1 161195793 TOMM40L
ENSG00000143252.9 chr1 161284047 SDHC
ENSG00000143226.8 chr1 161475220 FCGR2A
ENSG00000162747.5 chr1 161592986 FCGR3B
ENSG00000158710.10 chr1 159887897 TAGLN2
ENSG00000072694.14 chr1 161632951 FCGR2B
ENSG00000132185.12 chr1 161676762 FCRLA
ENSG00000162746.10 chr1 161692457 FCRLB
ENSG00000081721.6 chr1 161719560 DUSP12
ENSG00000143315.5 chr1 159997462 PIGM
ENSG00000177807.6 chr1 160007257 KCNJ10
ENSG00000162729.9 chr1 160061130 IGSF8
ENSG00000118217.5 chr1 161736084 ATF6
ENSG00000122218.10 chr1 160259063 COPA
ENSG00000162739.9 chr1 160454820 SLAMF6
ENSG00000117091.5 chr1 160648536 CD48
ENSG00000152332.11 chr1 162467633 UHMK1
ENSG00000122223.8 chr1 160799950 CD244
ENSG00000117143.8 chr1 162531323 UAP1
ENSG00000215845.6 chr1 161007421 TSTD1
ENSG00000158773.10 chr1 161009042 USF1
ENSG00000186517.9 chr1 161016738 ARHGAP30
ENSG00000143256.4 chr1 161070346 PFDN2
ENSG00000158796.11 chr1 161090767 DEDD
ENSG00000158850.10 chr1 161141100 B4GALT3
ENSG00000173660.7 chr1 46769303 UQCRH
ENSG00000065526.6 chr1 16174359 SPEN
ENSG00000116809.7 chr1 16268364 ZBTB17
ENSG00000203747.5 chr1 161511549 FCGR3A
ENSG00000162745.6 chr1 161952982 OLFML2B
ENSG00000198574.4 chr1 162365056 SH2D1B
ENSG00000008128.18 chr1 1634320 CDK11A
ENSG00000143198.7 chr1 165600098 MGST3
ENSG00000143183.12 chr1 165696032 TMCO1
ENSG00000143179.7 chr1 165796768 UCK2
ENSG00000132881.7 chr1 16558195 RSG1
ENSG00000143157.7 chr1 166808694 POGK
ENSG00000152382.5 chr1 166825747 TADA1
ENSG00000142632.11 chr1 16524599 ARHGEF19
ENSG00000198842.5 chr1 167064087 DUSP27
ENSG00000143171.8 chr1 165370159 RXRG
ENSG00000143149.8 chr1 165631453 ALDH9A1
ENSG00000143190.16 chr1 167190066 POU2F1
ENSG00000198821.6 chr1 167399877 CD247
ENSG00000037637.6 chr1 16573334 FBXO42
ENSG00000198771.6 chr1 167599330 RCSD1
ENSG00000197965.7 chr1 167691187 MPZL1
ENSG00000143199.13 chr1 167778882 ADCY10
ENSG00000143164.11 chr1 167905899 DCAF6
ENSG00000143155.8 chr1 168148171 TIPRL
ENSG00000213064.4 chr1 168195246 SFT2D2
ENSG00000143178.8 chr1 168250278 TBX19
ENSG00000157191.15 chr1 16767167 NECAP2
ENSG00000143167.7 chr1 167022073 GPA33
ENSG00000143153.7 chr1 169075558 ATP1B1
ENSG00000143162.7 chr1 167510250 CREG1
ENSG00000117475.9 chr1 169337208 BLZF1
ENSG00000117479.7 chr1 169433147 SLC19A2
ENSG00000143158.6 chr1 167885967 MPC2
ENSG00000219481.6 chr1 16888814 NBPF1
ENSG00000000460.12 chr1 169764550 C1orf112
ENSG00000000457.8 chr1 169822215 SCYL3
ENSG00000008130.11 chr1 1682671 NADK
ENSG00000120370.8 chr1 170501270 GORAB
ENSG00000143156.9 chr1 169101769 NME7
ENSG00000094963.9 chr1 171154388 FMO2
ENSG00000198734.6 chr1 169483404 F5
ENSG00000076258.5 chr1 171283373 FMO4
ENSG00000188404.4 chr1 169659808 SELL
ENSG00000171806.7 chr1 169761670 METTL18
ENSG00000117523.11 chr1 171454695 PRRC2C
ENSG00000075945.8 chr1 169890467 KIFAP3
ENSG00000010165.14 chr1 171750842 METTL13
ENSG00000094975.8 chr1 172502357 SUCO
ENSG00000117586.6 chr1 173152874 TNFSF4
ENSG00000117533.10 chr1 171669300 VAMP4
ENSG00000117592.8 chr1 173446405 PRDX6
ENSG00000078369.13 chr1 1716729 GNB1
ENSG00000159363.13 chr1 17312453 ATP13A2
ENSG00000076321.6 chr1 173684123 KLHL20
ENSG00000120334.11 chr1 173768988 CENPL
ENSG00000117593.8 chr1 173793641 DARS2
ENSG00000135845.4 chr1 172410598 PIGC
ENSG00000152061.17 chr1 174844684 RABGAP1L
ENSG00000116161.13 chr1 174968300 CACYBP
ENSG00000117118.5 chr1 17345217 SDHB
ENSG00000117115.8 chr1 17393256 PADI2
ENSG00000120333.4 chr1 174982094 MRPS14
ENSG00000198797.6 chr1 177140633 FAM5B
ENSG00000159339.9 chr1 17634692 PADI4
ENSG00000143207.15 chr1 175913967 RFWD2
ENSG00000252906.1 chr1 175937534 SCARNA3
ENSG00000179051.9 chr1 17733256 RCC2
ENSG00000116199.7 chr1 178995031 FAM20B
ENSG00000186283.9 chr1 179050512 TOR3A
ENSG00000057252.8 chr1 179262937 SOAT1
ENSG00000169905.7 chr1 179809102 TOR1AIP2
ENSG00000074964.12 chr1 17866330 ARHGEF10L
ENSG00000143337.13 chr1 179851447 TOR1AIP1
ENSG00000135837.11 chr1 179923873 CEP350
ENSG00000116260.12 chr1 180124032 QSOX1
ENSG00000135847.5 chr1 180257365 ACBD6
ENSG00000143324.9 chr1 180601140 XPR1
ENSG00000153029.10 chr1 181003139 MR1
ENSG00000162783.8 chr1 181057638 IER5
ENSG00000135821.11 chr1 182350840 GLUL
ENSG00000135823.9 chr1 180941861 STX6
ENSG00000135838.9 chr1 182761394 NPL
ENSG00000135829.12 chr1 182808504 DHX9
ENSG00000135862.5 chr1 182992595 LAMC1
ENSG00000116698.16 chr1 183441638 SMG7
ENSG00000116701.10 chr1 183524860 NCF2
ENSG00000143344.10 chr1 183605208 RGL1
ENSG00000198860.7 chr1 184020811 TSEN15
ENSG00000203730.2 chr1 182367252 TEDDM1
ENSG00000135828.7 chr1 182542769 RNASEL
ENSG00000116406.14 chr1 184659365 EDEM3
ENSG00000135842.12 chr1 184760164 FAM129A
ENSG00000121481.6 chr1 185014496 RNF2
ENSG00000121486.7 chr1 185087230 TRMT1L
ENSG00000162704.11 chr1 183595352 ARPC5
ENSG00000157181.10 chr1 186345001 C1orf27
ENSG00000073756.7 chr1 186640923 PTGS2
ENSG00000116711.8 chr1 186798085 PLA2G4A
ENSG00000116679.11 chr1 185265520 IVNS1ABP
ENSG00000047410.8 chr1 186282954 TPR
ENSG00000009709.7 chr1 18957500 PAX7
ENSG00000150681.5 chr1 192127587 RGS18
ENSG00000159423.12 chr1 19197926 ALDH4A1
ENSG00000090104.7 chr1 192544857 RGS1
ENSG00000116741.6 chr1 192778171 RGS2
ENSG00000116747.8 chr1 193029187 TROVE2
ENSG00000169991.6 chr1 19230775 IFFO2
ENSG00000116750.8 chr1 192984889 UCHL5
ENSG00000023572.4 chr1 193065598 GLRX2
ENSG00000127481.10 chr1 19401000 UBR4
ENSG00000053372.4 chr1 19578033 MRTO4
ENSG00000000971.11 chr1 196621008 CFH
ENSG00000080910.6 chr1 196912897 CFHR2
ENSG00000077549.13 chr1 19665267 CAPZB
ENSG00000162482.4 chr1 19609052 AKR7A3
ENSG00000203724.6 chr1 197871777 C1orf53
ENSG00000053371.8 chr1 19630459 AKR7A2
ENSG00000151414.10 chr1 198126093 NEK7
ENSG00000081237.14 chr1 198608146 PTPRC
ENSG00000173436.9 chr1 19923484 MINOS1
ENSG00000118197.9 chr1 200613167 DDX59
ENSG00000118200.10 chr1 200708686 CAMSAP2
ENSG00000081248.6 chr1 201008642 CACNA1S
ENSG00000116857.11 chr1 201103901 TMEM9
ENSG00000159176.9 chr1 201452662 CSRP1
ENSG00000134369.11 chr1 201617377 NAV1
ENSG00000198700.5 chr1 201798269 IPO9
ENSG00000134375.6 chr1 201924619 TIMM17A
ENSG00000176393.6 chr1 201951752 RNPEP
ENSG00000163435.11 chr1 201979645 ELF3
ENSG00000162702.6 chr1 200375827 ZNF281
ENSG00000077152.5 chr1 202300785 UBE2T
ENSG00000077157.15 chr1 202431871 PPP1R12B
ENSG00000116852.9 chr1 200938520 KIF21B
ENSG00000159346.8 chr1 202909951 ADIPOR1
ENSG00000163444.7 chr1 202976514 TMEM183A
ENSG00000163485.11 chr1 203096836 ADORA1
ENSG00000159388.5 chr1 203274664 BTG2
ENSG00000058668.10 chr1 203595689 ATP2B4
ENSG00000058673.11 chr1 203764827 ZC3H11A
ENSG00000182004.8 chr1 203830743 SNRPE
ENSG00000143851.11 chr1 202116141 PTPN7
ENSG00000143842.10 chr1 204042732 SOX13
ENSG00000067606.11 chr1 2036155 PRKCZ
ENSG00000158615.8 chr1 204372515 PPP1R15B
ENSG00000117139.12 chr1 202696526 KDM5B
ENSG00000198625.8 chr1 204485511 MDM4
ENSG00000183155.4 chr1 202848085 RABIF
ENSG00000117153.11 chr1 202860228 KLHL12
ENSG00000159348.8 chr1 202930997 CYB5R1
ENSG00000133059.12 chr1 205111633 DSTYK
ENSG00000069275.12 chr1 205681947 NUCKS1
ENSG00000117280.8 chr1 205737114 RAB7L1
ENSG00000117215.10 chr1 20438432 PLA2G2D
ENSG00000163486.8 chr1 206516200 SRGAP2
ENSG00000143466.8 chr1 206643791 IKBKE
ENSG00000136653.14 chr1 206730493 RASSF5
ENSG00000162889.6 chr1 206858382 MAPKAPK2
ENSG00000187980.6 chr1 20490484 PLA2G2C
ENSG00000117222.9 chr1 205055270 RBBP5
ENSG00000162894.7 chr1 207077731 FAIM3
ENSG00000163545.7 chr1 205271187 NUAK2
ENSG00000123836.10 chr1 207226605 PFKFB2
ENSG00000158711.9 chr1 205577071 ELK4
ENSG00000196352.9 chr1 207494853 CD55
ENSG00000203710.6 chr1 207669613 CR1
ENSG00000174059.12 chr1 208059884 CD34
ENSG00000196550.6 chr1 206138884 FAM72A
ENSG00000143486.11 chr1 206764977 EIF2D
ENSG00000136634.5 chr1 206940947 IL10
ENSG00000090432.5 chr1 20825943 MUL1
ENSG00000180667.6 chr1 207217194 YOD1
ENSG00000008118.5 chr1 209757074 CAMK1G
ENSG00000123689.5 chr1 209848765 G0S2
ENSG00000009790.10 chr1 209929394 TRAF3IP3
ENSG00000117597.13 chr1 210001352 DIEXF
ENSG00000158825.5 chr1 20915441 CDA
ENSG00000158828.5 chr1 20959948 PINK1
ENSG00000117625.9 chr1 211433317 RCOR3
ENSG00000082512.10 chr1 211499957 TRAF5
ENSG00000244038.5 chr1 20978270 DDOST
ENSG00000162757.3 chr1 209955661 C1orf74
ENSG00000123684.8 chr1 211916799 LPGAT1
ENSG00000162585.12 chr1 2120987 C1orf86
ENSG00000066027.6 chr1 212458879 PPP2R5A
ENSG00000117691.5 chr1 212606229 NENF
ENSG00000127483.13 chr1 21069154 HP1BP3
ENSG00000162772.12 chr1 212782012 ATF3
ENSG00000123685.4 chr1 212859760 BATF3
ENSG00000203705.6 chr1 212965170 TATDN3
ENSG00000162769.8 chr1 213031597 FLVCR1
ENSG00000136643.7 chr1 213224597 RPS6KC1
ENSG00000075151.15 chr1 21132963 EIF4G3
ENSG00000170385.9 chr1 211744910 SLC30A1
ENSG00000143493.8 chr1 212113743 INTS7
ENSG00000065600.8 chr1 212537273 TMEM206
ENSG00000143499.9 chr1 214454576 SMYD2
ENSG00000117697.10 chr1 212910985 NSL1
ENSG00000174606.8 chr1 213165524 ANGEL2
ENSG00000136636.8 chr1 215740735 KCTD3
ENSG00000117298.10 chr1 21546352 ECE1
ENSG00000067533.5 chr1 218458629 RRP15
ENSG00000142794.14 chr1 21766631 NBPF3
ENSG00000143353.7 chr1 219347186 LYPLAL1
ENSG00000092978.6 chr1 217600334 GPATCH2
ENSG00000067704.8 chr1 220267455 IARS2
ENSG00000162817.6 chr1 220863187 C1orf115
ENSG00000186205.8 chr1 220960101 MARC1
ENSG00000136630.11 chr1 221051699 HLX
ENSG00000090686.11 chr1 22005072 USP48
ENSG00000136628.12 chr1 220141943 EPRS
ENSG00000162813.13 chr1 220230824 BPNT1
ENSG00000118873.10 chr1 220321635 RAB3GAP2
ENSG00000154305.12 chr1 222791428 MIA3
ENSG00000162819.7 chr1 222885895 BROX
